ID,Name,Description (Short),Name (Chinese),Description (Chinese Short)
banefulbunker,Baneful Bunker,Protects from moves. Contact: poison.,碉堡,防住对手攻击的同时，让接触到自己的对手中毒。
barrage,Barrage,Hits 2-5 times in one turn.,投球,向对手投掷圆形物体进行攻击，连续攻击２～５次。
barrier,Barrier,Raises the user's Defense by 2.,屏障,制造坚固的壁障，从而大幅提高自己的防御，令自己防御提升2级。
batonpass,Baton Pass,"User switches, passing stat changes and more.",接棒,和后备宝可梦进行替换，换上的宝可梦能直接继承其能力的变化。
beakblast,Beak Blast,Burns on contact with the user before it moves.,鸟嘴加农炮,先加热鸟嘴后再进行攻击，鸟嘴在加热时对手触碰的话，就会使其灼伤。
beatup,Beat Up,All healthy allies aid in damaging the target.,围攻,我方全员进行攻击，同行的宝可梦越多，招式的攻击次数越多。
behemothbash,Behemoth Bash,Damage doubles if the target is Dynamaxed.,巨兽弹,变身为巨大的盾，撞击对手，如果对手正处于极巨化状态，则造成的伤害会变成2倍。
behemothblade,Behemoth Blade,Damage doubles if the target is Dynamaxed.,巨兽斩,变身为巨大的剑，挥斩对手，如果对手正处于极巨化状态，则造成的伤害会变成2倍。
belch,Belch,Cannot be selected until the user eats a Berry.,打嗝,朝着对手打嗝，并给予伤害，如果不吃树果则无法使出。
bellydrum,Belly Drum,User loses 50% max HP. Maximizes Attack.,腹鼓,将自己的ＨＰ减少到最大ＨＰ的一半，从而最大限度提高自己的攻击。
bestow,Bestow,User passes its held item to the target.,传递礼物,当对手未携带道具时，能够将自己携带的道具交给对手。
bide,Bide,Waits 2 turns; deals double the damage taken.,忍耐,在２回合内忍受攻击，受到的伤害会２倍返还给对手。
bind,Bind,Traps and damages the target for 4-5 turns.,绑紧,使用长长的身体或藤蔓等，在４～５回合内绑紧对手进行攻击。
bite,Bite,30% chance to flinch the target.,咬住,用尖锐的牙咬住对手进行攻击，有时会使对手畏缩，30%几率令目标畏缩。
blackholeeclipse,Black Hole Eclipse,Power is equal to the base move's Z-Power.,黑洞吞噬万物灭,通过Ｚ力量收集恶能量，全力将对手吸入，威力会根据原来的招式而改变。
blastburn,Blast Burn,User cannot move next turn.,爆炸烈焰,用爆炸的火焰烧尽对手进行攻击，下一回合自己将无法动弹。
blazekick,Blaze Kick,High critical hit ratio. 10% chance to burn.,火焰踢,攻击对手后，有时会使其陷入灼伤状态，也容易击中要害，10%几率令目标烧伤。
blizzard,Blizzard,10% chance to freeze foe(s). Can't miss in hail.,暴风雪,将猛烈的暴风雪刮向对手进行攻击，有时会让对手陷入冰冻状态，	10%几率令目标冰冻。
block,Block,Prevents the target from switching out.,挡路,张开双手进行阻挡，封住对手的退路，使其不能逃走。
bloomdoom,Bloom Doom,Power is equal to the base move's Z-Power.,绚烂缤纷花怒放,通过Ｚ力量借助花草的能量，全力攻击对手，威力会根据原来的招式而改变。
blueflare,Blue Flare,20% chance to burn the target.,青焰,用美丽而激烈的青焰包裹住对手进行攻击，有时会让对手陷入灼伤状态，20%几率令目标烧伤。
bodypress,Body Press,Uses user's Def stat as Atk in damage calculation.,扑击,用身体撞向对手进行攻击，防御越高，给予的伤害就越高。
bodyslam,Body Slam,30% chance to paralyze the target.,泰山压顶,用整个身体压住对手进行攻击，有时会让对手陷入麻痹状态，30%几率令目标麻痹。
boltbeak,Bolt Beak,Power doubles if user moves before the target.,电喙,用带电的喙啄刺对手，如果比对手先出手攻击，招试的威力会变为2倍。
boltstrike,Bolt Strike,20% chance to paralyze the target.,雷击,让强大的电流覆盖全身，猛撞向对手进行攻击，有时会让对手陷入麻痹状态，20%几率令目标麻痹。
boneclub,Bone Club,10% chance to flinch the target.,骨棒,用手中的骨头殴打对手进行攻击，有时会使对手畏缩，10%几率令目标畏缩。
bonemerang,Bonemerang,Hits 2 times in one turn.,骨头回力镖,攻击目标造成伤害，一回合内连续攻击2次。
bonerush,Bone Rush,Hits 2-5 times in one turn.,骨棒乱打,"用坚硬的骨头殴打对手进行攻击,连续攻击２～５次。"
boomburst,Boomburst,No additional effect. Hits adjacent Pokemon.,爆音波,"没有额外的影响,击中附近的口袋妖怪。"
bounce,Bounce,Bounces turn 1. Hits turn 2. 30% paralyze.,弹跳,第一回合弹跳上天空进行蓄力，第二回合发动攻击。有30%的几率使目标陷入麻痹状态。
bouncybubble,Bouncy Bubble,User recovers 50% of the damage dealt.,活活气泡,攻击目标造成伤害，自身的ＨＰ恢复造成的伤害的50%
branchpoke,Branch Poke,No additional effect.,木枝突刺,攻击目标造成伤害。
bravebird,Brave Bird,Has 33% recoil.,勇鸟猛攻,攻击目标造成伤害。使用者承受对目标造成伤害的1⁄3的伤害。
breakingswipe,Breaking Swipe,100% chance to lower the foe(s) Attack by 1.,广域破坏,攻击目标造成伤害。令目标的攻击降低1级。
breakneckblitz,Breakneck Blitz,Power is equal to the base move's Z-Power.,究极无敌大冲撞,通过Ｚ力量气势猛烈地全力撞上对手。威力会根据原来的招式而改变。
brickbreak,Brick Break,"Destroys screens, unless the target is immune.",劈瓦,破坏对方场地的光墙、反射壁和极光幕，并攻击目标造成伤害。不受反射壁和极光幕的伤害降低影响。
brine,Brine,Power doubles if the target's HP is 50% or less.,盐水,攻击目标造成伤害。如果目标的ＨＰ为其最大ＨＰ的1⁄2或以下，威力翻倍。
brutalswing,Brutal Swing,No additional effect. Hits adjacent Pokemon.,狂舞挥打,攻击目标造成伤害。作用范围内的宝可梦，无论对手还是同伴，都会受到伤害。
bubble,Bubble,10% chance to lower the foe(s) Speed by 1.,泡沫,攻击目标造成伤害。10%几率令目标的速度降低1级。
bubblebeam,Bubble Beam,10% chance to lower the target's Speed by 1.,泡沫光线,攻击目标造成伤害。10%几率令目标的速度降低1级。
bugbite,Bug Bite,User steals and eats the target's Berry.,虫咬,窃取并吃掉目标身上的树果。
bugbuzz,Bug Buzz,10% chance to lower the target's Sp. Def by 1.,虫鸣,攻击目标造成伤害。10%几率令目标的特防降低1级。
bulkup,Bulk Up,Raises the user's Attack and Defense by 1.,健美,令使用者的攻击提升1级。令使用者的防御提升1级。
bulldoze,Bulldoze,100% chance lower adjacent Pkmn Speed by 1.,重踏,攻击目标造成伤害。100%几率令目标的速度降低1级。场地处于青草场地时威力下降50%。
bulletpunch,Bullet Punch,Usually goes first.,子弹拳,攻击目标造成伤害。必定能够先制攻击。
bulletseed,Bullet Seed,Hits 2-5 times in one turn.,种子机关枪,攻击目标造成伤害，一回合内连续攻击2～5次。
burningjealousy,Burning Jealousy,100% burns a target that had a stat rise this turn.,妒火,令该回合内能力变化曾提高过的宝可梦陷入灼伤状态。
burnup,Burn Up,User's Fire type becomes typeless; must be Fire.,燃尽,攻击目标造成伤害。使用后自身火属性变成无属性，其他属性的顺位不会改变，离场后恢复。
buzzybuzz,Buzzy Buzz,100% chance to paralyze the foe.,麻麻电击,攻击目标造成伤害。麻麻电击有100%的几率使目标陷入麻痹状态。
calmmind,Calm Mind,Raises the user's Sp. Atk and Sp. Def by 1.,冥想,令使用者的特攻提升1级。令使用者的特防提升1级。
camouflage,Camouflage,Changes user's type by terrain (default Normal).,保护色,根据地形或场地型状态改变自身的属性，场地型状态的效果覆盖地形的效果。(默认为一般)
captivate,Captivate,Lowers the foe(s) Sp. Atk by 2 if opposite gender.,诱惑,令目标的特攻降低2级。如果自身与目标相同性别，或一方为无性别，则招式失败。
catastropika,Catastropika,No additional effect.,皮卡皮卡必杀击,皮卡皮卡必杀击会造成伤害。攻击必定会命中。
celebrate,Celebrate,No competitive use.,庆祝,宝可梦为十分开心的玩家庆祝。没有任何效果的观赏招式。
charge,Charge,"+1 SpD, user's Electric move next turn 2x power.",充电,使自身进入充电状态持续1回合。电属性招式的威力加倍。同时还令使用者的特防提升1级。
chargebeam,Charge Beam,70% chance to raise the user's Sp. Atk by 1.,充电光束,攻击目标造成伤害。70%几率令使用者的特攻提升1级。
charm,Charm,Lowers the target's Attack by 2.,撒娇,令目标的攻击降低2级。
chatter,Chatter,100% chance to confuse the target.,喋喋不休,100%的几率使目标陷入混乱状态。
chipaway,Chip Away,Ignores the target's stat stage changes.,逐步击破,攻击目标造成伤害。并无视目标能力的变化。
circlethrow,Circle Throw,Forces the target to switch to a random ally.,巴投,强制目标替换宝可梦上场。
clamp,Clamp,Traps and damages the target for 4-5 turns.,贝壳夹击,攻击目标造成伤害。使目标陷入束缚状态。束缚状态持续4～5回合。
clangingscales,Clanging Scales,Lowers the user's Defense by 1.,鳞片噪音,攻击目标造成伤害。令使用者的防御降低1级。
clangoroussoul,Clangorous Soul,User loses 33% of its max HP. +1 to all stats.,魂舞烈音爆,使用者失去最大ＨＰ的1⁄3的ＨＰ。使用者的攻击、防御、特攻、特防和速度会各上升1级。
clangoroussoulblaze,Clangorous Soulblaze,Raises the user's Atk/Def/SpAtk/SpDef/Spe by 1.,炽魂热舞烈音爆,攻击目标造成伤害。令使用者的攻击、防御、特攻、特防和速度提升1级。
clearsmog,Clear Smog,Resets all of the target's stat stages to 0.,清除之烟,将对手所有的能力变化的等级回归为0级。
closecombat,Close Combat,Lowers the user's Defense and Sp. Def by 1.,近身战,攻击目标造成伤害。令使用者的防御降低1级。令使用者的特防降低1级。
coaching,Coaching,Raises an ally's Attack and Defense by 1.,指导,令除使用者外己方全场的攻击防御各提升1级。
coil,Coil,"Raises user's Attack, Defense, accuracy by 1.",盘蜷,令使用者的攻击、防御、命中率各提升1级。
cometpunch,Comet Punch,Hits 2-5 times in one turn.,连续拳,攻击目标造成伤害，一回合内连续攻击2～5次。
confide,Confide,Lowers the target's Sp. Atk by 1.,密语,令目标的特攻降低1级。
confuseray,Confuse Ray,Confuses the target.,奇异之光,使目标陷入混乱状态。
confusion,Confusion,10% chance to confuse the target.,念力,攻击目标造成伤害。有10%的几率使目标陷入混乱状态。
constrict,Constrict,10% chance to lower the target's Speed by 1.,缠绕,攻击目标造成伤害。10%几率令目标的速度降低1级。
continentalcrush,Continental Crush,Power is equal to the base move's Z-Power.,毁天灭地巨岩坠,通过Ｚ力量召唤大大的岩山，全力撞向对手。威力会根据原来的招式而改变。
conversion,Conversion,Changes user's type to match its first move.,纹理,改变自身属性为自己学会的第一个招式的属性。
conversion2,Conversion 2,Changes user's type to resist target's last move.,纹理２,自身的属性改变为上回合目标使用招式的属性对自身效果不理想或没有效果的属性。
copycat,Copycat,Uses the last move used in the battle.,仿效,使用场上宝可梦最后成功使用的招式。
coreenforcer,Core Enforcer,Nullifies the foe(s) Ability if the foe(s) move first.,核心惩罚者,使出后能够消除已经在该回合使出招式的对手的特性。
corkscrewcrash,Corkscrew Crash,Power is equal to the base move's Z-Power.,超绝螺旋连击,通过Ｚ力量进行高速旋转，全力撞上对手。威力会根据原来的招式而改变。
corrosivegas,Corrosive Gas,Removes adjacent Pokemon's held items.,腐蚀气体,如果目标持有可被拍落的携带物品，则目标在战斗结束前失去其携带物品。
cosmicpower,Cosmic Power,Raises the user's Defense and Sp. Def by 1.,宇宙力量,令使用者的防御、特防各提升1级。
cottonguard,Cotton Guard,Raises the user's Defense by 3.,棉花防守,令使用者的防御提升3级。
cottonspore,Cotton Spore,Lowers the target's Speed by 2.,棉孢子,令目标的速度降低2级。
counter,Counter,"If hit by physical attack, returns double damage.",双倍奉还,造成使用者上一次受到的物理伤害×2的固定伤害。
courtchange,Court Change,Swaps user's field effects with the opposing side.,换场,可交换招式使用方和对方的部分场地状态。
covet,Covet,"If the user has no item, it steals the target's.",渴望,如果攻击方没有或失去携带物品，则会在本次战斗中获得目标的携带物品。
crabhammer,Crabhammer,High critical hit ratio.,蟹钳锤,攻击目标造成伤害。击中要害率比普通招式高1级。
craftyshield,Crafty Shield,Protects allies from Status moves this turn.,戏法防守,使己方场地进入戏法防守状态，直到这回合结束之前，保护我方全场宝可梦不受到变化招式影响。
crosschop,Cross Chop,High critical hit ratio.,十字劈,攻击目标造成伤害。击中要害率比普通招式高1级。
crosspoison,Cross Poison,High critical hit ratio. 10% chance to poison.,十字毒刃,攻击目标造成伤害。击中要害率比正常高出1级，并10%的几率使目标陷入中毒状态。
crunch,Crunch,20% chance to lower the target's Defense by 1.,咬碎,攻击目标造成伤害。20%几率令目标的防御降低1级。
crushclaw,Crush Claw,50% chance to lower the target's Defense by 1.,撕裂爪,攻击目标造成伤害。50%几率令目标的防御降低1级。
crushgrip,Crush Grip,More power the more HP the target has left.,捏碎,对手的ＨＰ越多，威力越大。
curse,Curse,"Curses if Ghost, else -1 Spe, +1 Atk, +1 Def.",诅咒,自身带有幽灵属性时，使用者减少最大ＨＰ的1⁄2，使目标进入诅咒状态。自身ＨＰ不满最大ＨＰ的1⁄2时仍可使用，使用后自身陷入濒死状态。处于该状态的宝可梦每回合结束时损失最大ＨＰ的1⁄4，离场后状态消失。自身不带有幽灵属性时，令使用者的速度降低1级，攻击、防御提升1级。
cut,Cut,No additional effect.,居合斩,攻击目标造成伤害。
darkestlariat,Darkest Lariat,Ignores the target's stat stage changes.,ＤＤ金勾臂,攻击目标造成伤害。并无视目标能力的变化。
darkpulse,Dark Pulse,20% chance to flinch the target.,恶之波动,攻击目标造成伤害。有20%的几率使目标陷入畏缩状态。
darkvoid,Dark Void,Darkrai: Causes the foe(s) to fall asleep.,暗黑洞,使目标陷入睡眠状态。
dazzlinggleam,Dazzling Gleam,No additional effect. Hits adjacent foes.,魔法闪耀,攻击目标造成伤害。
decorate,Decorate,Raises the target's Attack and Sp. Atk by 2.,装饰,令目标的攻击、特攻各提升2级。
defendorder,Defend Order,Raises the user's Defense and Sp. Def by 1.,防御指令,令使用者的防御、特防各提升1级。
defensecurl,Defense Curl,Raises the user's Defense by 1.,变圆,令使用者的防御提升1级。
defog,Defog,-1 evasion; clears terrain and hazards on both sides.,清除浓雾,令目标的闪避率降低1级。清除场上的的反射壁或光墙等。
destinybond,Destiny Bond,"If an opponent knocks out the user, it also faints.",同命,使出招式后，当受到对手攻击陷入濒死时，对手也会一同濒死。连续使出则会失败。
detect,Detect,Prevents moves from affecting the user this turn.,看穿,完全抵挡对手的攻击。连续使出则容易失败。
devastatingdrake,Devastating Drake,Power is equal to the base move's Z-Power.,究极巨龙震天地,通过Ｚ力量将气场实体化，向对手全力发动袭击。威力会根据原来的招式而改变。
diamondstorm,Diamond Storm,50% chance to raise user's Def by 2 for each hit.,钻石风暴,攻击目标造成伤害。50%几率令使用者的防御提升2级。
dig,Dig,"Digs underground turn 1, strikes turn 2.",挖洞,第１回合钻入地底，第２回合攻击对手。
disable,Disable,"For 4 turns, disables the target's last move used.",定身法,阻碍对手行动，之前使出的招式将在４回合内无法使用。
disarmingvoice,Disarming Voice,This move does not check accuracy. Hits foes.,魅惑之声,攻击目标造成伤害。魅惑之声一定会命中，除非目标正在使用蓄力的招式并不在场地上。
discharge,Discharge,30% chance to paralyze adjacent Pokemon.,放电,攻击目标造成伤害。放电有30%的几率使目标陷入麻痹状态。
dive,Dive,"Dives underwater turn 1, strikes turn 2.",潜水,第１回合潜入，第２回合浮上来进行攻击。
dizzypunch,Dizzy Punch,20% chance to confuse the target.,迷昏拳,攻击目标造成伤害。迷昏拳有20%的几率使目标陷入混乱状态。
doomdesire,Doom Desire,Hits two turns after being used.,破灭之愿,使用招式２回合后，会用无数道光束攻击对手。
doubleedge,Double-Edge,Has 33% recoil.,舍身冲撞,攻击目标造成伤害。使用者承受对目标造成伤害的1⁄3的伤害。
doublehit,Double Hit,Hits 2 times in one turn.,二连击,攻击目标造成伤害，一回合内连续攻击2次。
doubleironbash,Double Iron Bash,Hits twice. 30% chance to flinch.,钢拳双击,连续攻击对手两次。钢拳双击有30%的几率使目标陷入畏缩状态。
doublekick,Double Kick,Hits 2 times in one turn.,二连踢,攻击目标造成伤害，一回合内连续攻击2次。
doubleslap,Double Slap,Hits 2-5 times in one turn.,连环巴掌,攻击目标造成伤害，一回合内连续攻击2～5次。
doubleteam,Double Team,Raises the user's evasiveness by 1.,影子分身,令使用者的闪避率提升1级。
dracometeor,Draco Meteor,Lowers the user's Sp. Atk by 2.,流星群,攻击目标造成伤害。令使用者的特攻降低2级。
dragonascent,Dragon Ascent,Lowers the user's Defense and Sp. Def by 1.,画龙点睛,攻击目标造成伤害。令使用者的防御、特防各降低1级。
dragonbreath,Dragon Breath,30% chance to paralyze the target.,龙息,攻击目标造成伤害。并有30%的几率使目标陷入麻痹状态。
dragonclaw,Dragon Claw,No additional effect.,龙爪,攻击目标造成伤害。
dragondance,Dragon Dance,Raises the user's Attack and Speed by 1.,龙之舞,令使用者的攻击、速度各提升1级。
dragondarts,Dragon Darts,Hits twice. Doubles: Tries to hit each foe once.,龙箭,进行２次攻击。如果对手有２只宝可梦，则对它们各进行１次攻击。
dragonenergy,Dragon Energy,Less power as user's HP decreases. Hits foe(s).,巨龙威能,攻击目标造成伤害。威力随自身剩余ＨＰ减少而减少。
dragonhammer,Dragon Hammer,No additional effect.,龙锤,攻击目标造成伤害。
dragonpulse,Dragon Pulse,No additional effect.,龙之波动,攻击目标造成伤害。
dragonrage,Dragon Rage,Deals 40 HP of damage to the target.,龙之怒,固定造成40点ＨＰ伤害。
dragonrush,Dragon Rush,20% chance to flinch the target.,龙之俯冲,攻击目标造成伤害。并有20%的几率使目标陷入畏缩状态。
dragontail,Dragon Tail,Forces the target to switch to a random ally.,龙尾,强制使队伍中下一只没有陷入濒死状态的宝可梦替换上场。
drainingkiss,Draining Kiss,User recovers 75% of the damage dealt.,吸取之吻,攻击目标造成伤害，自身的ＨＰ恢复造成的伤害的75%。
drainpunch,Drain Punch,User recovers 50% of the damage dealt.,吸取拳,攻击目标造成伤害，自身的ＨＰ恢复造成的伤害的50%。
dreameater,Dream Eater,User gains 1/2 HP inflicted. Sleeping target only.,食梦,攻击目标造成伤害，自身的ＨＰ恢复造成的伤害的50%。
drillpeck,Drill Peck,No additional effect.,啄钻,攻击目标造成伤害。
drillrun,Drill Run,High critical hit ratio.,直冲钻,攻击目标造成伤害。击中要害率比普通招式高1级。
drumbeating,Drum Beating,100% chance to lower the target's Speed by 1.,鼓击,攻击目标造成伤害。100%几率令目标的速度降低1级。
dualchop,Dual Chop,Hits 2 times in one turn.,二连劈,攻击目标造成伤害，一回合内连续攻击2次。
dualwingbeat,Dual Wingbeat,Hits 2 times in one turn.,双翼,攻击目标造成伤害，一回合内连续攻击2次。
dynamaxcannon,Dynamax Cannon,Damage doubles if the target is Dynamaxed.,极巨炮,从核心放出光束进行攻击。如果对手正处于极巨化状态，则造成的伤害会变为２倍。
dynamicpunch,Dynamic Punch,100% chance to confuse the target.,爆裂拳,使出浑身力气出拳进行攻击。必定会使对手混乱。
earthpower,Earth Power,10% chance to lower the target's Sp. Def by 1.,大地之力,向对手脚下释放出大地之力。10%降低对手的特防1级。
earthquake,Earthquake,Hits adjacent Pokemon. Double damage on Dig.,地震,利用地震的冲击，攻击自己周围所有的宝可梦。
echoedvoice,Echoed Voice,Power increases when used on consecutive turns.,回声,用回声攻击对手。如果每回合都有宝可梦接着使用该招式，威力就会提高。
eerieimpulse,Eerie Impulse,Lowers the target's Sp. Atk by 2.,怪异电波,从身体放射出怪异电波，让对手沐浴其中，100%的几率令目标特攻降低2级。
eeriespell,Eerie Spell,Removes 3 PP from the target's last move.,诡异咒语,用强大的精神力量攻击。让对手最后使用的招式减少3PP。
eggbomb,Egg Bomb,No additional effect.,炸蛋,向对手用力投掷大大的蛋进行攻击。
electricterrain,Electric Terrain,"5 turns. Grounded: +Electric power, can't sleep.",电气场地,在５回合内变成电气场地。地面上的宝可梦将无法睡眠。电属性的招式威力提升30%。
electrify,Electrify,Changes the target's move to Electric this turn.,输电,对手使出招式前，使目标进入输电状态，将目标接下来使用的招式变成电属性。
electroball,Electro Ball,More power the faster the user is than the target.,电球,用电气团撞向对手。自己比对手速度越快，威力越大。
electroweb,Electroweb,100% chance to lower the foe(s) Speed by 1.,电网,用电网捉住对手进行攻击。100%几率令目标的速度降低1级。
embargo,Embargo,"For 5 turns, the target's item has no effect.",查封,让对手在５回合内不能使用宝可梦携带的道具。训练家也不能给那只宝可梦使用道具。
ember,Ember,10% chance to burn the target.,火花,向对手发射小型火焰进行攻击。10%几率令对手陷入灼伤状态。
encore,Encore,Target repeats its last move for its next 3 turns.,再来一次,让对手接受再来一次，连续３次令目标使出目标最后使用的招式。
endeavor,Endeavor,Lowers the target's HP to the user's HP.,蛮干,给予伤害，使对手的ＨＰ变得和自己的ＨＰ一样。
endure,Endure,User survives attacks this turn with at least 1 HP.,挺住,即使受到攻击，也至少会留下１ＨＰ。连续使出则容易失败。
energyball,Energy Ball,10% chance to lower the target's Sp. Def by 1.,能量球,发射从自然收集的生命力量。10%的几率降低对手的特防1级。
entrainment,Entrainment,The target's Ability changes to match the user's.,找伙伴,用神奇的节奏跳舞。使对手模仿自己的动作，从而将特性变成一样。
eruption,Eruption,Less power as user's HP decreases. Hits foe(s).,喷火,爆发怒火攻击对手。自己的ＨＰ越少，招式的威力越小。
eternabeam,Eternabeam,User cannot move next turn.,无极光束,无极汰那变回原来的样子后，发动的最强攻击。下一回合自己将无法动弹。
expandingforce,Expanding Force,"User on Psychic Terrain: 1.5x power, hits foes.",广域战力,利用精神力量攻击对手。在精神场地上威力会提高50%，能对所有对手造成伤害。
explosion,Explosion,Hits adjacent Pokemon. The user faints.,大爆炸,引发大爆炸，攻击自己周围所有的宝可梦。使用后自己会陷入濒死。
extrasensory,Extrasensory,10% chance to flinch the target.,神通力,发出看不见的神奇力量进行攻击。10%几率令对手畏缩。
extremeevoboost,Extreme Evoboost,"Raises user's Atk, Def, SpA, SpD, and Spe by 2.",九彩升华齐聚顶,得到Ｚ力量的伊布将借助进化后伙伴们的力量，提升自身攻击、防御、特攻、特防、速度各2级。
extremespeed,Extreme Speed,Nearly always goes first.,神速,以迅雷不及掩耳之势猛撞向对手进行攻击。必定能够先制攻击。
facade,Facade,Power doubles if user is burn/poison/paralyzed.,硬撑,当自己处于中毒、麻痹、灼伤状态时，向对手使出此招式的话，威力会变成２倍。
fairylock,Fairy Lock,Prevents all Pokemon from switching next turn.,妖精之锁,通过封锁，下一回合幽灵系外所有的宝可梦都无法逃走。
